Algorithm,Queens_Size,Time,States,Optimal_solution
hill_climbing,4,0.00017380714416503906,3,False
simulated_annealing,4,0.0005726814270019531,51,1
genetic_algorithm,4,0.0006687641143798828,2,1
hill_climbing,8,0.0025305747985839844,3,False
simulated_annealing,8,0.009975433349609375,496,1
genetic_algorithm,8,0.18199443817138672,31,1
hill_climbing,10,0.00983881950378418,5,False
simulated_annealing,10,0.06242537498474121,2501,False
genetic_algorithm,10,0.6025314331054688,50,1
hill_climbing,12,0.019634723663330078,5,False
simulated_annealing,12,0.14671874046325684,4321,False
genetic_algorithm,12,4.913133382797241,201,1
hill_climbing,15,0.07603740692138672,8,False
simulated_annealing,15,0.40518641471862793,8438,False
genetic_algorithm,15,26.79035973548889,481,1
hill_climbing,4,0.0001766681671142578,3,False
simulated_annealing,4,0.0009891986846923828,104,1
genetic_algorithm,4,0.011935710906982422,15,1
hill_climbing,8,0.0016486644744873047,2,False
simulated_annealing,8,0.014990568161010742,838,1
genetic_algorithm,8,0.11918187141418457,25,1
hill_climbing,10,0.012068510055541992,6,False
simulated_annealing,10,0.06245303153991699,2501,False
genetic_algorithm,10,18.431909561157227,1348,1
hill_climbing,12,0.023696184158325195,6,False
simulated_annealing,12,0.1430215835571289,4321,False
genetic_algorithm,12,2.9387259483337402,121,1
hill_climbing,15,0.08327555656433105,9,False
simulated_annealing,15,0.40314817428588867,8438,False
genetic_algorithm,15,1.3364996910095215,31,1
hill_climbing,4,0.00012564659118652344,3,1
simulated_annealing,4,0.0001361370086669922,7,1
genetic_algorithm,4,0.0013158321380615234,2,1
hill_climbing,8,0.0032279491424560547,4,False
simulated_annealing,8,0.021194934844970703,1096,1
genetic_algorithm,8,0.12286901473999023,24,1
hill_climbing,10,0.011046409606933594,6,False
simulated_annealing,10,0.06283450126647949,2501,False
genetic_algorithm,10,0.8030941486358643,72,1
hill_climbing,12,0.023411989212036133,6,False
simulated_annealing,12,0.14461946487426758,4321,False
genetic_algorithm,12,1.850872278213501,84,1
hill_climbing,15,0.07438230514526367,8,False
simulated_annealing,15,0.40404701232910156,8438,False
genetic_algorithm,15,38.6862428188324,659,1
hill_climbing,4,0.00017547607421875,4,1
simulated_annealing,4,0.0006017684936523438,55,1
genetic_algorithm,4,0.013450145721435547,14,1
hill_climbing,8,0.003743886947631836,5,False
simulated_annealing,8,0.02424764633178711,1281,False
genetic_algorithm,8,0.42934083938598633,70,1
hill_climbing,10,0.009745359420776367,5,False
simulated_annealing,10,0.06228232383728027,2501,False
genetic_algorithm,10,0.9484338760375977,73,1
hill_climbing,12,0.023737668991088867,6,False
simulated_annealing,12,0.09925580024719238,2992,1
genetic_algorithm,12,2.6518497467041016,111,1
hill_climbing,15,0.06764984130859375,7,False
simulated_annealing,15,0.4018833637237549,8438,False
genetic_algorithm,15,10.983324527740479,201,1
hill_climbing,4,7.843971252441406e-05,1,False
simulated_annealing,4,0.000156402587890625,15,1
genetic_algorithm,4,0.0007405281066894531,2,1
hill_climbing,8,0.0039060115814208984,5,False
simulated_annealing,8,0.018674135208129883,997,1
genetic_algorithm,8,0.05121159553527832,11,1
hill_climbing,10,0.00774836540222168,5,1
simulated_annealing,10,0.06316900253295898,2501,False
genetic_algorithm,10,1.070098876953125,87,1
hill_climbing,12,0.019789934158325195,5,False
simulated_annealing,12,0.11282467842102051,3397,1
genetic_algorithm,12,1.072629690170288,52,1
hill_climbing,15,0.05637359619140625,6,False
simulated_annealing,15,0.40264058113098145,8438,False
genetic_algorithm,15,3.3973207473754883,75,1
hill_climbing,4,0.00017642974853515625,3,False
simulated_annealing,4,0.0004258155822753906,39,1
genetic_algorithm,4,0.0007307529449462891,2,1
hill_climbing,8,0.0032672882080078125,4,False
simulated_annealing,8,0.007855892181396484,384,1
genetic_algorithm,8,14.165678262710571,2317,1
hill_climbing,10,0.009865760803222656,5,False
simulated_annealing,10,0.06314539909362793,2501,False
genetic_algorithm,10,0.34109926223754883,31,1
hill_climbing,12,0.023703336715698242,6,False
simulated_annealing,12,0.09075069427490234,2784,1
genetic_algorithm,12,4.7964982986450195,196,1
hill_climbing,15,0.0748147964477539,8,False
simulated_annealing,15,0.403106689453125,8438,False
genetic_algorithm,15,4.691793203353882,96,1
hill_climbing,4,0.000125885009765625,3,1
simulated_annealing,4,0.00017571449279785156,16,1
genetic_algorithm,4,0.0008864402770996094,2,1
hill_climbing,8,0.003267049789428711,4,False
simulated_annealing,8,0.004308938980102539,230,1
genetic_algorithm,8,0.12796258926391602,25,1
hill_climbing,10,0.011197328567504883,6,False
simulated_annealing,10,0.06311726570129395,2501,False
genetic_algorithm,10,123.25940489768982,10367,1
hill_climbing,12,0.016349077224731445,4,False
simulated_annealing,12,0.144362211227417,4321,False
genetic_algorithm,12,4.507269620895386,195,1
hill_climbing,15,0.056355953216552734,6,False
simulated_annealing,15,0.4048583507537842,8438,False
genetic_algorithm,15,9.097726106643677,179,1
hill_climbing,4,0.00017380714416503906,4,1
simulated_annealing,4,0.0010728836059570312,112,1
genetic_algorithm,4,0.010630369186401367,14,1
hill_climbing,8,0.0031404495239257812,4,False
simulated_annealing,8,0.0069806575775146484,388,1
genetic_algorithm,8,0.39011526107788086,65,1
hill_climbing,10,0.0058934688568115234,3,False
simulated_annealing,10,0.04596734046936035,1805,1
genetic_algorithm,10,0.38643622398376465,36,1
hill_climbing,12,0.02764153480529785,7,False
simulated_annealing,12,0.14651250839233398,4321,False
genetic_algorithm,12,4.392042875289917,183,1
hill_climbing,15,0.0656428337097168,7,False
simulated_annealing,15,0.4073812961578369,8438,False
genetic_algorithm,15,7.505847930908203,147,1
hill_climbing,4,0.00017142295837402344,3,False
simulated_annealing,4,0.0009410381317138672,96,1
genetic_algorithm,4,0.0013566017150878906,3,1
hill_climbing,8,0.002276897430419922,3,False
simulated_annealing,8,0.010827779769897461,540,1
genetic_algorithm,8,0.10195136070251465,21,1
hill_climbing,10,0.007816076278686523,4,False
simulated_annealing,10,0.06276440620422363,2501,False
genetic_algorithm,10,0.2456669807434082,24,1
hill_climbing,12,0.02321791648864746,6,False
simulated_annealing,12,0.11098742485046387,3340,1
genetic_algorithm,12,6.340952396392822,254,1
hill_climbing,15,0.06554079055786133,7,False
simulated_annealing,15,0.27629637718200684,5776,1
genetic_algorithm,15,2.3356645107269287,50,1
hill_climbing,4,0.00017523765563964844,3,False
simulated_annealing,4,0.0001571178436279297,17,1
genetic_algorithm,4,0.0012295246124267578,2,1
hill_climbing,8,0.0056798458099365234,8,1
simulated_annealing,8,0.004571199417114258,226,1
genetic_algorithm,8,0.7464637756347656,113,1
hill_climbing,10,0.01333165168762207,7,False
simulated_annealing,10,0.06251239776611328,2501,False
genetic_algorithm,10,0.9294404983520508,76,1
hill_climbing,12,0.03412771224975586,9,False
simulated_annealing,12,0.14307808876037598,4321,False
genetic_algorithm,12,2.0355939865112305,84,1
hill_climbing,15,0.06488633155822754,7,False
simulated_annealing,15,0.2273712158203125,4745,1
genetic_algorithm,15,3.07504940032959,65,1
hill_climbing,4,0.00011157989501953125,3,1
simulated_annealing,4,0.00011610984802246094,11,1
genetic_algorithm,4,0.056711435317993164,65,1
hill_climbing,8,0.0029549598693847656,4,False
simulated_annealing,8,0.02468395233154297,1281,False
genetic_algorithm,8,0.47788381576538086,73,1
hill_climbing,10,0.011382818222045898,6,False
simulated_annealing,10,0.06275629997253418,2501,False
genetic_algorithm,10,13.519004106521606,970,1
hill_climbing,12,0.030817508697509766,8,False
simulated_annealing,12,0.07184886932373047,2166,1
genetic_algorithm,12,5.260857820510864,225,1
hill_climbing,15,0.05711865425109863,6,False
simulated_annealing,15,0.4008057117462158,8438,False
genetic_algorithm,15,3.2908687591552734,69,1
hill_climbing,4,0.00012683868408203125,2,False
simulated_annealing,4,0.0007097721099853516,66,1
genetic_algorithm,4,0.02304840087890625,27,1
hill_climbing,8,0.0030510425567626953,4,False
simulated_annealing,8,0.015579462051391602,819,1
genetic_algorithm,8,0.31739211082458496,53,1
hill_climbing,10,0.013171672821044922,7,False
simulated_annealing,10,0.06294989585876465,2501,False
genetic_algorithm,10,0.5373210906982422,48,1
hill_climbing,12,0.019256591796875,5,False
simulated_annealing,12,0.14171528816223145,4321,False
genetic_algorithm,12,7.746898889541626,306,1
hill_climbing,15,0.056224822998046875,6,False
simulated_annealing,15,0.40581226348876953,8438,False
genetic_algorithm,15,9.709368705749512,184,1
